Code	Source PMID
Ref 1	36410675
Ref 2	37011773
Ref 3	35007696
Ref 4	32601199
Ref 5	36449545
Ref 6	32222697
Ref 7	34508066
Ref 8	34831282
Ref 9	33846536
Ref 10	35399656
Ref 11	34471052
Ref 12	35247543
Ref 13	35269789
Ref 14	35886979
Ref 15	35657638
Ref 16	36773804
Ref 17	34525121
Ref 18	31639455
Ref 19	36942275
Ref 20	34204015
Ref 21	34326138
Ref 22	34939198
Ref 23	34992691
Ref 24	32555512
Ref 25	35892859
Ref 26	34997132
Ref 27	35817771
Ref 28	32708825
Ref 29	36838599
Ref 30	37583983
Ref 31	37715926
Ref 32	37361518
Ref 33	34869595
Ref 34	36074155
Ref 35	32103944
Ref 36	35897675
Ref 37	37933640
Ref 38	31781245
Ref 39	35667653
Ref 40	35393545
Ref 41	34554318
Ref 42	35096604
Ref 43	35083152
Ref 44	33121324
Ref 45	32373197
Ref 46	37958539
Ref 47	33745390
Ref 48	31656041
Ref 49	32468048
Ref 50	31857620
Ref 51	32919173
Ref 52	33214550
Ref 53	37689120
Ref 54	35284628
Ref 55	35517807
Ref 56	32052681
Ref 57	35456580
Ref 58	33472170
Ref 59	34650973
Ref 60	32929377
Ref 61	32477940
Ref 62	32542981
Ref 63	35404400
Ref 64	37392173
Ref 65	36562106
Ref 66	36931039
Ref 67	34327529
Ref 68	35639349
Ref 69	32795383
Ref 70	37267946
Ref 71	35752364
Ref 72	34520734
Ref 73	36382444
Ref 74	35463082
Ref 75	32901871
Ref 76	34048180
Ref 77	37693312
Ref 78	32942617
Ref 79	34668144
Ref 80	32958259
Ref 81	33013420
Ref 82	33672529
Ref 83	37324455
Ref 84	33865975
Ref 85	31719146
Ref 86	35985176
Ref 87	33552273
Ref 88	34236134
Ref 89	33842631
Ref 90	35462922
Ref 91	31774011
Ref 92	36362047
Ref 93	36844629
Ref 94	36820194
Ref 95	34065402
Ref 96	34536148
Ref 97	36870692
Ref 98	36980788
Ref 99	36606584
Ref 100	37634232
Ref 101	35335877
Ref 102	36038948
Ref 103	33198803
Ref 104	35918499
Ref 105	34031538
Ref 106	37328469
Ref 107	33380424
Ref 108	35636688
Ref 109	35284722
Ref 110	32273769
Ref 111	37511111
Ref 112	37691451
Ref 113	33007330
Ref 114	35942816
Ref 115	35979255
Ref 116	34602561
Ref 117	33403255
Ref 118	37009655
Ref 119	36541716
Ref 120	35977595
Ref 121	32284742
Ref 122	37538178
Ref 123	33749127
Ref 124	37141396
Ref 125	37388441
Ref 126	37840856
Ref 127	37941832
Ref 128	32528470
Ref 129	34150611
Ref 130	35684095
Ref 131	33000256
Ref 132	31772060
Ref 133	34493069
Ref 134	37621132
Ref 135	37762557
Ref 136	31937750
Ref 137	31652737
Ref 138	36248422
Ref 139	34056218
Ref 140	35014689
Ref 141	36109724
Ref 142	35413842
Ref 143	36093651
Ref 144	34445506
Ref 145	33807514
Ref 146	36827667
Ref 147	32104239
Ref 148	31894856
Ref 149	37373337
Ref 150	34149413
Ref 151	33232319
Ref 152	32306002
Ref 153	37170083
Ref 154	36000567
Ref 155	36291153
Ref 156	36051666
Ref 157	36741448
Ref 158	36386188
Ref 159	37513222
Ref 160	36677847
Ref 161	33995081
Ref 162	37584258
Ref 163	32323833
Ref 164	34076564
Ref 165	35209071
Ref 166	32135040
Ref 167	35538494
Ref 168	34023560
Ref 169	34303032
Ref 170	31695364
Ref 171	31819528
Ref 172	34285578
Ref 173	36107024
Ref 174	34149737
Ref 175	32296579
Ref 176	36420706
Ref 177	33747900
Ref 178	34010745
Ref 179	34709749
Ref 180	33524223
Ref 181	35798092
Ref 182	32805491
Ref 183	32695297
Ref 184	34294133
